"id","model","name","transient","field_id","field_id/field_description","field_id/name","field_id/ttype","field_id/model","field_id/selection_ids","field_id/selection_ids/name","field_id/selection_ids/value"
"","","","","Logo Filename (Club)","Logo Filename","x_studio_logo_filename","char","x_club","","",""
"","","","","Notes (Club)","Notes","x_studio_notes","html","x_club","","",""
"","","","","Organization (Club)","Organization","x_studio_organization","char","x_club","","",""
"","","","","Email (Club)","Email","x_studio_partner_email","char","x_club","","",""
"","","","","Contact (Club)","Contact","x_studio_partner_id","many2one","x_club","","",""
"","","","","Phone (Club)","Phone","x_studio_partner_phone","char","x_club","","",""
"","","","","Color de Camisa (Club)","Color de Camisa","x_studio_primary_color","char","x_club","","",""
"","","","","High Priority (Club)","High Priority","x_studio_priority","boolean","x_club","","",""
"","","","","Color de Letra (Club)","Color de Letra","x_studio_secondary_color","char","x_club","","",""
"","","","","Sequence (Club)","Sequence","x_studio_sequence","integer","x_club","","",""
"","","","","Source (Club)","Source","x_studio_source","char","x_club","","",""
"","","","","Stage (Club)","Stage","x_studio_stage_id","many2one","x_club","","",""
"","","","","Submission Timestamp (Club)","Submission Timestamp","x_studio_submission_timestamp","datetime","x_club","","",""
"","","","","Tags (Club)","Tags","x_studio_tag_ids","many2many","x_club","","",""
"","","","","Teams (Club)","Teams","x_studio_team_ids","one2many","x_club","","",""
"","","","","Tournament (Club)","Tournament","x_studio_tournament_id","many2one","x_club","","",""
"studio_customization.game_d884bc7d-02f7-4dc3-85c8-a07c59967832","x_game","Game","","Next Activity Calendar Event (Game)","Next Activity Calendar Event","activity_calendar_event_id","many2one","x_game","","",""
"","","","","Next Activity Deadline (Game)","Next Activity Deadline","activity_date_deadline","date","x_game","","",""
"","","","","Activity Exception Decoration (Game)","Activity Exception Decoration","activity_exception_decoration","selection","x_game","Alert","Alert","warning"
"","","","","","","","","","Error","Error","danger"
"","","","","Icon (Game)","Icon","activity_exception_icon","char","x_game","","",""
"","","","","Activities (Game)","Activities","activity_ids","one2many","x_game","","",""
"","","","","Activity State (Game)","Activity State","activity_state","selection","x_game","Overdue","Overdue","overdue"
"","","","","","","","","","Today","Today","today"
"","","","","","","","","","Planned","Planned","planned"
"","","","","Next Activity Summary (Game)","Next Activity Summary","activity_summary","char","x_game","","",""
"","","","","Activity Type Icon (Game)","Activity Type Icon","activity_type_icon","char","x_game","","",""
"","","","","Next Activity Type (Game)","Next Activity Type","activity_type_id","many2one","x_game","","",""
"","","","","Responsible User (Game)","Responsible User","activity_user_id","many2one","x_game","","",""
"","","","","Created on (Game)","Created on","create_date","datetime","x_game","","",""
"","","","","Created by (Game)","Created by","create_uid","many2one","x_game","","",""
"","","","","Display Name (Game)","Display Name","display_name","char","x_game","","",""
"","","","","Has Message (Game)","Has Message","has_message","boolean","x_game","","",""
"","","","","ID (Game)","ID","id","integer","x_game","","",""
"","","","","Attachment Count (Game)","Attachment Count","message_attachment_count","integer","x_game","","",""
"","","","","Followers (Game)","Followers","message_follower_ids","one2many","x_game","","",""
"","","","","Message Delivery error (Game)","Message Delivery error","message_has_error","boolean","x_game","","",""
"","","","","Number of errors (Game)","Number of errors","message_has_error_counter","integer","x_game","","",""
"","","","","SMS Delivery error (Game)","SMS Delivery error","message_has_sms_error","boolean","x_game","","",""
"","","","","Messages (Game)","Messages","message_ids","one2many","x_game","","",""
"","","","","Is Follower (Game)","Is Follower","message_is_follower","boolean","x_game","","",""
"","","","","Action Needed (Game)","Action Needed","message_needaction","boolean","x_game","","",""
"","","","","Number of Actions (Game)","Number of Actions","message_needaction_counter","integer","x_game","","",""
"","","","","Followers (Partners) (Game)","Followers (Partners)","message_partner_ids","many2many","x_game","","",""
"","","","","My Activity Deadline (Game)","My Activity Deadline","my_activity_date_deadline","date","x_game","","",""
"","","","","Ratings (Game)","Ratings","rating_ids","one2many","x_game","","",""
"","","","","Website Messages (Game)","Website Messages","website_message_ids","one2many","x_game","","",""
"","","","","Last Updated on (Game)","Last Updated on","write_date","datetime","x_game","","",""
"","","","","Last Updated by (Game)","Last Updated by","write_uid","many2one","x_game","","",""
"","","","","Activo (Game)","Activo","x_active","boolean","x_game","","",""
"","","","","Descripción (Game)","Descripción","x_name","char","x_game","","",""
"","","","","Away Score (Game)","Away Score","x_studio_away_score","integer","x_game","","",""
"","","","","Away Team (Game)","Away Team","x_studio_away_team","many2one","x_game","","",""
"","","","","Away Team Fouls (Game)","Away Team Fouls","x_studio_away_team_fouls","integer","x_game","","",""
"","","","","Away Timeouts (Game)","Away Timeouts","x_studio_away_timeouts","integer","x_game","","",""
"","","","","Datetime (Game)","Datetime","x_studio_datetime","datetime","x_game","","",""
"","","","","Game Clock Seconds (Game)","Game Clock Seconds","x_studio_game_clock_seconds","integer","x_game","","",""
"","","","","Game Events (Game)","Game Events","x_studio_game_events","one2many","x_game","","",""
"","","","","Home Score (Game)","Home Score","x_studio_home_score","integer","x_game","","",""
"","","","","Home Team (Game)","Home Team","x_studio_home_team","many2one","x_game","","",""
"","","","","Home Team Fouls (Game)","Home Team Fouls","x_studio_home_team_fouls","integer","x_game","","",""
"","","","","Home Timeouts (Game)","Home Timeouts","x_studio_home_timeouts","integer","x_game","","",""
"","","","","Location (Game)","Location","x_studio_location","many2one","x_game","","",""
"","","","","Match Name (Game)","Match Name","x_studio_match_name","char","x_game","","",""
"","","","","Period (Game)","Period","x_studio_period","integer","x_game","","",""
"","","","","Possession Team (Game)","Possession Team","x_studio_possession_team","many2one","x_game","","",""
"","","","","Shot Clock Seconds (Game)","Shot Clock Seconds","x_studio_shot_clock_seconds","integer","x_game","","",""
"","","","","Stats (Game)","Stats","x_studio_stats","one2many","x_game","","",""
"","","","","Status (Game)","Status","x_studio_status","selection","x_game","Scheduled","Scheduled","Scheduled"
"","","","","","","","","","Live","Live","Live"
"","","","","","","","","","Played","Played","Played"
"","","","","","","","","","Cancelled","Cancelled","Cancelled"
"","","","","Website Description (Game)","Website Description","x_studio_website_description","html","x_game","","",""
"","","","","Week (Game)","Week","x_studio_week","integer","x_game","","",""
"studio_customization.team_32b03c34-b67b-4124-9a75-7ee9011270ad","x_team","Team","","Next Activity Calendar Event (Team)","Next Activity Calendar Event","activity_calendar_event_id","many2one","x_team","","",""
"","","","","Next Activity Deadline (Team)","Next Activity Deadline","activity_date_deadline","date","x_team","","",""
"","","","","Activity Exception Decoration (Team)","Activity Exception Decoration","activity_exception_decoration","selection","x_team","Alert","Alert","warning"
"","","","","","","","","","Error","Error","danger"
"","","","","Icon (Team)","Icon","activity_exception_icon","char","x_team","","",""
"","","","","Activities (Team)","Activities","activity_ids","one2many","x_team","","",""
"","","","","Activity State (Team)","Activity State","activity_state","selection","x_team","Overdue","Overdue","overdue"
"","","","","","","","","","Today","Today","today"
"","","","","","","","","","Planned","Planned","planned"
"","","","","Next Activity Summary (Team)","Next Activity Summary","activity_summary","char","x_team","","",""
"","","","","Activity Type Icon (Team)","Activity Type Icon","activity_type_icon","char","x_team","","",""
"","","","","Next Activity Type (Team)","Next Activity Type","activity_type_id","many2one","x_team","","",""
"","","","","Responsible User (Team)","Responsible User","activity_user_id","many2one","x_team","","",""
"","","","","Created on (Team)","Created on","create_date","datetime","x_team","","",""
"","","","","Created by (Team)","Created by","create_uid","many2one","x_team","","",""
"","","","","Display Name (Team)","Display Name","display_name","char","x_team","","",""
"","","","","Has Message (Team)","Has Message","has_message","boolean","x_team","","",""
"","","","","ID (Team)","ID","id","integer","x_team","","",""
"","","","","Attachment Count (Team)","Attachment Count","message_attachment_count","integer","x_team","","",""
"","","","","Followers (Team)","Followers","message_follower_ids","one2many","x_team","","",""
"","","","","Message Delivery error (Team)","Message Delivery error","message_has_error","boolean","x_team","","",""
"","","","","Number of errors (Team)","Number of errors","message_has_error_counter","integer","x_team","","",""
"","","","","SMS Delivery error (Team)","SMS Delivery error","message_has_sms_error","boolean","x_team","","",""
"","","","","Messages (Team)","Messages","message_ids","one2many","x_team","","",""
"","","","","Is Follower (Team)","Is Follower","message_is_follower","boolean","x_team","","",""
"","","","","Action Needed (Team)","Action Needed","message_needaction","boolean","x_team","","",""
"","","","","Number of Actions (Team)","Number of Actions","message_needaction_counter","integer","x_team","","",""
"","","","","Followers (Partners) (Team)","Followers (Partners)","message_partner_ids","many2many","x_team","","",""
"","","","","My Activity Deadline (Team)","My Activity Deadline","my_activity_date_deadline","date","x_team","","",""
"","","","","Ratings (Team)","Ratings","rating_ids","one2many","x_team","","",""
"","","","","Website Messages (Team)","Website Messages","website_message_ids","one2many","x_team","","",""
"","","","","Last Updated on (Team)","Last Updated on","write_date","datetime","x_team","","",""
"","","","","Last Updated by (Team)","Last Updated by","write_uid","many2one","x_team","","",""
"","","","","Activo (Team)","Activo","x_active","boolean","x_team","","",""
"","","","","Games Played (Team)","Games Played","x_games_played","integer","x_team","","",""
"","","","","Losses (Team)","Losses","x_losses","integer","x_team","","",""
"","","","","Nombre (Team)","Nombre","x_name","char","x_team","","",""
"","","","","Assistant Coach 2 (Team)","Assistant Coach 2","x_studio_assistant_coach_2","many2one","x_team","","",""
"","","","","Assitant Coach (Team)","Assitant Coach","x_studio_assitant_coach","many2one","x_team","","",""
"","","","","Away Games (Team)","Away Games","x_studio_away_games","one2many","x_team","","",""
"","","","","Billing Contact Email (Team)","Billing Contact Email","x_studio_billing_contact_email","char","x_team","","",""
"","","","","Billing Contact (Team)","Billing Contact","x_studio_billing_contact_id","many2one","x_team","","",""
"","","","","Billing Contact Phone (Team)","Billing Contact Phone","x_studio_billing_contact_phone","char","x_team","","",""
"","","","","Categoria (Team)","Categoria","x_studio_categoria","selection","x_team","6u","6u","6u"
"","","","","","","","","","7u","7u","7u"
"","","","","","","","","","8u","8u","8u"
"","","","","","","","","","9u","9u","9u"
"","","","","","","","","","10u","10u","10u"
"","","","","","","","","","11u","11u","11u"
"","","","","","","","","","12u","12u","12u"
"","","","","","","","","","13u","13u","13u"
"","","","","","","","","","14u","14u","14u"
"","","","","","","","","","15u","15u","15u"
"","","","","","","","","","16u","16u","16u"
"","","","","","","","","","17u","17u","17u"
"","","","","","","","","","18u","18u","18u"
"","","","","","","","","","19u","19u","19u"
"","","","","","","","","","20u","20u","20u"
"","","","","Category Text (Team)","Category Text","x_studio_category_text","char","x_team","","",""
"","","","","Certificado Coach (Team)","Certificado Coach","x_studio_certificado_coach","char","x_team","","",""
"","","","","Club (Team)","Club","x_studio_club_id","many2one","x_team","","",""
"","","","","Coach (Team)","Coach","x_studio_coach","many2one","x_team","","",""
"","","","","Coach Certificate (Team)","Coach Certificate","x_studio_coach_certificate","binary","x_team","","",""
"","","","","Coach Certificate Filename (Team)","Coach Certificate Filename","x_studio_coach_certificate_filename","char","x_team","","",""
"","","","","Coach DRD License Number (Team)","Coach DRD License Number","x_studio_coach_drd_license","char","x_team","","",""
"","","","","Encargado (Team)","Encargado","x_studio_contact","many2one","x_team","","",""
"","","","","Contact Email (Team)","Contact Email","x_studio_contact_email","char","x_team","","",""
"","","","","Contact Phone (Team)","Contact Phone","x_studio_contact_phone","char","x_team","","",""
"","","","","Division Text (Team)","Division Text","x_studio_division_text","char","x_team","","",""
"","","","","Gender Text (Team)","Gender Text","x_studio_gender_text","char","x_team","","",""
"","","","","Home Games (Team)","Home Games","x_studio_home_games","one2many","x_team","","",""
"","","","","Imagen (Team)","Imagen","x_studio_image","binary","x_team","","",""
"","","","","Number of Players (Team)","Number of Players","x_studio_number_of_players","integer","x_team","","",""
"","","","","New One2Many (Team)","New One2Many","x_studio_one2many_field_6n4_1jfctd6kh","one2many","x_team","","",""
"","","","","Players (Team)","Players","x_studio_players","one2many","x_team","","",""
"","","","","President Email (Team)","President Email","x_studio_president_email","char","x_team","","",""
"","","","","Registration Notes (Team)","Registration Notes","x_studio_registration_notes","html","x_team","","",""
"","","","","Club President (Team)","Club President","x_studio_related_field_8in_1jp6el5mb","many2one","x_team","","",""
"","","","","Pipeline status bar (Team)","Pipeline status bar","x_studio_selection_field_66l_1jo7itm0f","selection","x_team","First Status","First Status","status1"
"","","","","","","","","","Second Status","Second Status","status2"
"","","","","","","","","","Third Status","Third Status","status3"
"","","","","Secuencia (Team)","Secuencia","x_studio_sequence","integer","x_team","","",""
"","","","","Sexo (Team)","Sexo","x_studio_sexo","selection","x_team","Femenino","Femenino","Femenino"
"","","","","","","","","","Masculino","Masculino","Masculino"
"","","","","Staff (Team)","Staff","x_studio_staff_ids","one2many","x_team","","",""
"","","","","Tournament (Team)","Tournament","x_studio_tournament","many2one","x_team","","",""
"","","","","Uniform Preference (Team)","Uniform Preference","x_studio_uniform_preference","char","x_team","","",""
"","","","","Website Description (Team)","Website Description","x_studio_website_description","html","x_team","","",""
"","","","","Win Percentage (Team)","Win Percentage","x_win_pct","float","x_team","","",""
"","","","","Wins (Team)","Wins","x_wins","integer","x_team","","",""
"studio_customization.tournament_e70a5b6e-6bb3-48a3-a0dc-e9734cb115b4","x_tournament","Tournament","","Next Activity Calendar Event (Tournament)","Next Activity Calendar Event","activity_calendar_event_id","many2one","x_tournament","","",""
"","","","","Next Activity Deadline (Tournament)","Next Activity Deadline","activity_date_deadline","date","x_tournament","","",""
"","","","","Activity Exception Decoration (Tournament)","Activity Exception Decoration","activity_exception_decoration","selection","x_tournament","Alert","Alert","warning"
"","","","","","","","","","Error","Error","danger"
"","","","","Icon (Tournament)","Icon","activity_exception_icon","char","x_tournament","","",""
"","","","","Activities (Tournament)","Activities","activity_ids","one2many","x_tournament","","",""
"","","","","Activity State (Tournament)","Activity State","activity_state","selection","x_tournament","Overdue","Overdue","overdue"
"","","","","","","","","","Today","Today","today"
"","","","","","","","","","Planned","Planned","planned"
"","","","","Next Activity Summary (Tournament)","Next Activity Summary","activity_summary","char","x_tournament","","",""
"","","","","Activity Type Icon (Tournament)","Activity Type Icon","activity_type_icon","char","x_tournament","","",""
"","","","","Next Activity Type (Tournament)","Next Activity Type","activity_type_id","many2one","x_tournament","","",""
"","","","","Responsible User (Tournament)","Responsible User","activity_user_id","many2one","x_tournament","","",""
"","","","","Created on (Tournament)","Created on","create_date","datetime","x_tournament","","",""
"","","","","Created by (Tournament)","Created by","create_uid","many2one","x_tournament","","",""
"","","","","Display Name (Tournament)","Display Name","display_name","char","x_tournament","","",""
"","","","","Has Message (Tournament)","Has Message","has_message","boolean","x_tournament","","",""
"","","","","ID (Tournament)","ID","id","integer","x_tournament","","",""
"","","","","Attachment Count (Tournament)","Attachment Count","message_attachment_count","integer","x_tournament","","",""
"","","","","Followers (Tournament)","Followers","message_follower_ids","one2many","x_tournament","","",""
"","","","","Message Delivery error (Tournament)","Message Delivery error","message_has_error","boolean","x_tournament","","",""
"","","","","Number of errors (Tournament)","Number of errors","message_has_error_counter","integer","x_tournament","","",""
"","","","","SMS Delivery error (Tournament)","SMS Delivery error","message_has_sms_error","boolean","x_tournament","","",""
"","","","","Messages (Tournament)","Messages","message_ids","one2many","x_tournament","","",""
"","","","","Is Follower (Tournament)","Is Follower","message_is_follower","boolean","x_tournament","","",""
"","","","","Action Needed (Tournament)","Action Needed","message_needaction","boolean","x_tournament","","",""
"","","","","Number of Actions (Tournament)","Number of Actions","message_needaction_counter","integer","x_tournament","","",""
"","","","","Followers (Partners) (Tournament)","Followers (Partners)","message_partner_ids","many2many","x_tournament","","",""
"","","","","My Activity Deadline (Tournament)","My Activity Deadline","my_activity_date_deadline","date","x_tournament","","",""
"","","","","Ratings (Tournament)","Ratings","rating_ids","one2many","x_tournament","","",""
"","","","","Website Messages (Tournament)","Website Messages","website_message_ids","one2many","x_tournament","","",""
"","","","","Last Updated on (Tournament)","Last Updated on","write_date","datetime","x_tournament","","",""
"","","","","Last Updated by (Tournament)","Last Updated by","write_uid","many2one","x_tournament","","",""
"","","","","Activo (Tournament)","Activo","x_active","boolean","x_tournament","","",""
"","","","","Descripción (Tournament)","Descripción","x_name","char","x_tournament","","",""
"","","","","Fecha de inicio (Tournament)","Fecha de inicio","x_studio_date_start","datetime","x_tournament","","",""
"","","","","Fecha de finalización (Tournament)","Fecha de finalización","x_studio_date_stop","datetime","x_tournament","","",""
"","","","","Notas (Tournament)","Notas","x_studio_notes","html","x_tournament","","",""
"","","","","Secuencia (Tournament)","Secuencia","x_studio_sequence","integer","x_tournament","","",""
"__export__.ir_model_888_86390c10","x_club_court","Club Court","","Created on (Club Court)","Created on","create_date","datetime","x_club_court","","",""
"","","","","Created by (Club Court)","Created by","create_uid","many2one","x_club_court","","",""
"","","","","Display Name (Club Court)","Display Name","display_name","char","x_club_court","","",""
"","","","","ID (Club Court)","ID","id","integer","x_club_court","","",""
"","","","","Last Updated on (Club Court)","Last Updated on","write_date","datetime","x_club_court","","",""
"","","","","Last Updated by (Club Court)","Last Updated by","write_uid","many2one","x_club_court","","",""
"","","","","Name (Club Court)","Name","x_name","char","x_club_court","","",""
"","","","","Address (Club Court)","Address","x_studio_address","char","x_club_court","","",""
"","","","","Availability (Club Court)","Availability","x_studio_availability_ids","one2many","x_club_court","","",""
"","","","","City (Club Court)","City","x_studio_city","char","x_club_court","","",""
"","","","","Club (Club Court)","Club","x_studio_club_id","many2one","x_club_court","","",""
"","","","","Latitude (Club Court)","Latitude","x_studio_latitude","float","x_club_court","","",""
"","","","","Location URL (Club Court)","Location URL","x_studio_location_url","char","x_club_court","","",""
"","","","","Longitude (Club Court)","Longitude","x_studio_longitude","float","x_club_court","","",""
"","","","","Court Notes (Club Court)","Court Notes","x_studio_notes","html","x_club_court","","",""
"studio_customization.club_stages_248dba42-d5ef-46be-aa70-94c1f00a207d","x_club_stage","Club Stages","","Created on (Club Stages)","Created on","create_date","datetime","x_club_stage","","",""
"","","","","Created by (Club Stages)","Created by","create_uid","many2one","x_club_stage","","",""
"","","","","Display Name (Club Stages)","Display Name","display_name","char","x_club_stage","","",""
"","","","","ID (Club Stages)","ID","id","integer","x_club_stage","","",""
"","","","","Last Updated on (Club Stages)","Last Updated on","write_date","datetime","x_club_stage","","",""
"","","","","Last Updated by (Club Stages)","Last Updated by","write_uid","many2one","x_club_stage","","",""
"","","","","Stage Name (Club Stages)","Stage Name","x_name","char","x_club_stage","","",""
"","","","","Sequence (Club Stages)","Sequence","x_studio_sequence","integer","x_club_stage","","",""
"studio_customization.club_tags_8f2aa95b-98e4-4e1d-9d9d-f2558419124a","x_club_tag","Club Tags","","Created on (Club Tags)","Created on","create_date","datetime","x_club_tag","","",""
"","","","","Created by (Club Tags)","Created by","create_uid","many2one","x_club_tag","","",""
"","","","","Display Name (Club Tags)","Display Name","display_name","char","x_club_tag","","",""
"","","","","ID (Club Tags)","ID","id","integer","x_club_tag","","",""
"","","","","Last Updated on (Club Tags)","Last Updated on","write_date","datetime","x_club_tag","","",""
"","","","","Last Updated by (Club Tags)","Last Updated by","write_uid","many2one","x_club_tag","","",""
"","","","","Color (Club Tags)","Color","x_color","integer","x_club_tag","","",""
"","","","","Name (Club Tags)","Name","x_name","char","x_club_tag","","",""
"__export__.ir_model_890_a5ddabf2","x_court_availability","Court Availability","","Created on (Court Availability)","Created on","create_date","datetime","x_court_availability","","",""
"","","","","Created by (Court Availability)","Created by","create_uid","many2one","x_court_availability","","",""
"","","","","Display Name (Court Availability)","Display Name","display_name","char","x_court_availability","","",""
"","","","","ID (Court Availability)","ID","id","integer","x_court_availability","","",""
"","","","","Last Updated on (Court Availability)","Last Updated on","write_date","datetime","x_court_availability","","",""
"","","","","Last Updated by (Court Availability)","Last Updated by","write_uid","many2one","x_court_availability","","",""
"","","","","Name (Court Availability)","Name","x_name","char","x_court_availability","","",""
"","","","","Club (Court Availability)","Club","x_studio_club_id","many2one","x_court_availability","","",""
"","","","","Court (Court Availability)","Court","x_studio_court_id","many2one","x_court_availability","","",""
"","","","","Availability Date (Court Availability)","Availability Date","x_studio_date","date","x_court_availability","","",""
"","","","","Day (Court Availability)","Day","x_studio_day","char","x_court_availability","","",""
"","","","","End Time (Court Availability)","End Time","x_studio_end_time","float","x_court_availability","","",""
"","","","","Availability Notes (Court Availability)","Availability Notes","x_studio_notes","char","x_court_availability","","",""
"","","","","Start Time (Court Availability)","Start Time","x_studio_start_time","float","x_court_availability","","",""
"__export__.ir_model_880_c2dc6226","x_game_event","Game Event","","Created on (Game Event)","Created on","create_date","datetime","x_game_event","","",""
"","","","","Created by (Game Event)","Created by","create_uid","many2one","x_game_event","","",""
"","","","","Display Name (Game Event)","Display Name","display_name","char","x_game_event","","",""
"","","","","ID (Game Event)","ID","id","integer","x_game_event","","",""
"","","","","Last Updated on (Game Event)","Last Updated on","write_date","datetime","x_game_event","","",""
"","","","","Last Updated by (Game Event)","Last Updated by","write_uid","many2one","x_game_event","","",""
"","","","","Active (Game Event)","Active","x_active","boolean","x_game_event","","",""
"","","","","Name (Game Event)","Name","x_name","char","x_game_event","","",""
"","","","","Action Type (Game Event)","Action Type","x_studio_action_type","char","x_game_event","","",""
"","","","","Clock Seconds (Game Event)","Clock Seconds","x_studio_clock_seconds","integer","x_game_event","","",""
"","","","","Game (Game Event)","Game","x_studio_game","many2one","x_game_event","","",""
"","","","","Note (Game Event)","Note","x_studio_note","char","x_game_event","","",""
"","","","","Period (Game Event)","Period","x_studio_period","integer","x_game_event","","",""
"","","","","Player (Game Event)","Player","x_studio_player","many2one","x_game_event","","",""
"","","","","Points (Game Event)","Points","x_studio_points","integer","x_game_event","","",""
"","","","","Score After (Game Event)","Score After","x_studio_score_after","char","x_game_event","","",""
"","","","","Shot Value (Game Event)","Shot Value","x_studio_shot_value","integer","x_game_event","","",""
"","","","","Shot X (Game Event)","Shot X","x_studio_shot_x","integer","x_game_event","","",""
"","","","","Shot Y (Game Event)","Shot Y","x_studio_shot_y","integer","x_game_event","","",""
"","","","","Shot Zone (Game Event)","Shot Zone","x_studio_shot_zone","char","x_game_event","","",""
"","","","","Team (Game Event)","Team","x_studio_team","many2one","x_game_event","","",""
"studio_customization.player_a9f7934d-7d04-4314-88a1-e3624b2b470a","x_player","Player","","Created on (Player)","Created on","create_date","datetime","x_player","","",""
"","","","","Created by (Player)","Created by","create_uid","many2one","x_player","","",""
"","","","","Display Name (Player)","Display Name","display_name","char","x_player","","",""
"","","","","ID (Player)","ID","id","integer","x_player","","",""
"","","","","Last Updated on (Player)","Last Updated on","write_date","datetime","x_player","","",""
"","","","","Last Updated by (Player)","Last Updated by","write_uid","many2one","x_player","","",""
"","","","","Activo (Player)","Activo","x_active","boolean","x_player","","",""
"","","","","Avatar (Player)","Avatar","x_avatar_image","binary","x_player","","",""
"","","","","Name (Player)","Name","x_name","char","x_player","","",""
"","","","","Age (Player)","Age","x_studio_age","integer","x_player","","",""
"","","","","New Image (Player)","New Image","x_studio_binary_field_7c2_1jfbno2ep","binary","x_player","","",""
"","","","","Birth Certificate (Player)","Birth Certificate","x_studio_birth_certificate","binary","x_player","","",""
"","","","","Birth Certificate Filename (Player)","Birth Certificate Filename","x_studio_birth_certificate_filename","char","x_player","","",""
"","","","","Date of Birth (Player)","Date of Birth","x_studio_date_of_birth","date","x_player","","",""
"","","","","School (Player)","School","x_studio_escuela","char","x_player","","",""
"","","","","Face Photo Filename (Player)","Face Photo Filename","x_studio_face_photo_filename","char","x_player","","",""
"","","","","Firma Padre o Encargado (Player)","Firma Padre o Encargado","x_studio_firma_padre_o_encargado","binary","x_player","","",""
"","","","","Grade (Player)","Grade","x_studio_grade","selection","x_player","Pre School","Pre School","Pre School"
"","","","","","","","","","1st Grade","1st Grade","1st Grade"
"","","","","","","","","","2nd Grade","2nd Grade","2nd Grade"
"","","","","","","","","","3rd Grade","3rd Grade","3rd Grade"
"","","","","","","","","","4th Grade","4th Grade","4th Grade"
"","","","","","","","","","5th Grade","5th Grade","5th Grade"
"","","","","","","","","","6th Grade","6th Grade","6th Grade"
"","","","","","","","","","7th Grade","7th Grade","7th Grade"
"","","","","","","","","","8th Grade","8th Grade","8th Grade"
